2017-09-15 13:56:31.804 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Starting AccountFileScheduledApplication on admin-PC with PID 13212 (E:\workspace-test\AccountFile_Scheduled\target\classes started by admin in E:\workspace-test\AccountFile_Scheduled)
2017-09-15 15:06:49.984 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-09-15 15:06:49.985 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2017-09-15 15:06:49.989 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2017-09-15 15:06:50.033 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Started AccountFileScheduledApplication in 2.734 seconds (JVM running for 3.178)
2017-09-15 15:06:50.059 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 定时任务开始，读取数据库获取数据-----
2017-09-15 15:06:50.267 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 读取支付数据成功，共4条
2017-09-15 15:06:50.304 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 读取退款数据成功，共1条
2017-09-15 15:06:50.305 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 项目绝对路径:E:\workspace-test\AccountFile_Scheduled
2017-09-15 15:06:50.305 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件夹绝对路径:/zhxs/data\20170914\
2017-09-15 15:06:50.305 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件绝对路径:E:\workspace-test\AccountFile_Scheduled\temp\20170914\
2017-09-15 15:06:50.305 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件名:20170914.txt
2017-09-15 15:06:50.309 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件已存在，删除目录：E:\workspace-test\AccountFile_Scheduled\temp\20170914\下所有文件成功！
2017-09-15 15:06:50.348 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 写入数据到文件成功!
2017-09-15 15:06:50.348 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 开始上传文件20170914.txt到sftp服务器中的/zhxs/data\20170914\文件夹下
2017-09-15 15:06:50.361 logback [Scheduler_Task-1] INFO  com.zhx.utils.SFTPUtils - Session created.
2017-09-15 15:07:11.366 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 定时任务开始，读取数据库获取数据-----
2017-09-15 15:07:11.403 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 读取支付数据成功，共4条
2017-09-15 15:07:11.440 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 读取退款数据成功，共1条
2017-09-15 15:07:11.440 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 项目绝对路径:E:\workspace-test\AccountFile_Scheduled
2017-09-15 15:07:11.440 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件夹绝对路径:/zhxs/data\20170914\
2017-09-15 15:07:11.440 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件绝对路径:E:\workspace-test\AccountFile_Scheduled\temp\20170914\
2017-09-15 15:07:11.440 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件名:20170914.txt
2017-09-15 15:07:11.444 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件已存在，删除目录：E:\workspace-test\AccountFile_Scheduled\temp\20170914\下所有文件成功！
2017-09-15 15:07:11.469 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 写入数据到文件成功!
2017-09-15 15:07:11.469 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 开始上传文件20170914.txt到sftp服务器中的/zhxs/data\20170914\文件夹下
2017-09-15 15:07:11.469 logback [Scheduler_Task-1] INFO  com.zhx.utils.SFTPUtils - Session created.
2017-09-15 15:16:39.700 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Starting AccountFileScheduledApplication on admin-PC with PID 14252 (E:\workspace-test\AccountFile_Scheduled\target\classes started by admin in E:\workspace-test\AccountFile_Scheduled)
2017-09-15 15:16:39.700 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - The following profiles are active: dev
2017-09-15 15:16:39.756 logback [restartedMain] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@224bde1c: startup date [Fri Sep 15 15:16:39 CST 2017]; root of context hierarchy
2017-09-15 15:16:41.529 logback [restartedMain] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-09-15 15:16:41.678 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 
2017-09-15 15:16:41.685 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService  'handleErrorExecutor'
2017-09-15 15:16:41.694 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService  'taskScheduler'
2017-09-15 15:16:41.955 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2017-09-15 15:16:41.994 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-09-15 15:16:41.996 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2017-09-15 15:16:41.998 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2017-09-15 15:16:42.021 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 定时任务开始，读取数据库获取数据-----
2017-09-15 15:16:42.025 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Started AccountFileScheduledApplication in 2.716 seconds (JVM running for 3.166)
